Company_Country_Code,Company_Place_Name,Company_Latitude,Company_Longitude,Company_Country_Name
US,New York,40.7528,-73.9725,United States of America
US,New York,40.7214,-74.0052,United States of America
US,New York,40.7662,-73.9862,United States of America
US,New York,40.7449,-73.9782,United States of America
US,New York,40.7605,-73.9933,United States of America
US,New York,40.7588,-73.968,United States of America
US,New York,40.7637,-73.9727,United States of America
US,New York,40.7553,-73.9924,United States of America
US,New York,40.7308,-73.9975,United States of America
US,New York,40.7694,-73.9609,United States of America
US,New York,40.733,-74.0078,United States of America
US,New York,40.7505,-73.9931,United States of America
US,New York,40.7517,-73.9972,United States of America
US,New York,40.7082,-74.0132,United States of America
US,New York,40.7267,-73.9981,United States of America
US,New York,40.7168,-73.9861,United States of America
US,New York,40.7317,-73.9885,United States of America
US,New York,40.7584,-73.9794,United States of America
US,New York,40.7592,-73.9778,United States of America
US,New York,40.7055,-74.005,United States of America
US,New York,40.6888,-74.0203,United States of America
US,New York,40.7089,-74.0012,United States of America
US,New York,40.7391,-73.9826,United States of America
US,New York,40.7506,-73.9894,United States of America
US,New York,40.754,-73.9808,United States of America
US,New York,40.7628,-73.9785,United States of America
US,New York,40.7769,-73.9813,United States of America
US,New York,40.7529,-73.9761,United States of America
US,New York,40.7762,-73.9548,United States of America
US,New York,40.8116,-73.953,United States of America
US,New York,40.8596,-73.9314,United States of America
US,New York,40.7805,-73.9512,United States of America
US,New York,40.7087,-74.0104,United States of America
US,New York,40.7146,-74.015,United States of America
US,New York,40.7143,-74.006,United States of America
US,New York,40.7586,-73.9722,United States of America
US,New York,40.7958,-73.9775,United States of America
US,New York,40.7139,-74.0079,United States of America
US,New York,40.7038,-74.0098,United States of America
US,New York,40.7165,-74.0131,United States of America
US,New York,40.8626,-73.9218,United States of America
US,New York,40.791,-73.9256,United States of America
US,New York,40.7808,-73.9772,United States of America
US,New York,40.8006,-73.9653,United States of America
US,New York,40.7524,-73.9789,United States of America
US,New York,40.7496,-73.9919,United States of America
US,New York,40.7252,-73.9802,United States of America
US,New York,40.7518,-73.9922,United States of America
US,New York,40.8291,-73.9491,United States of America
US,New York,40.7101,-74.0166,United States of America
US,New York,40.7546,-73.9765,United States of America
US,New York,40.8504,-73.9369,United States of America
US,New York,40.7625,-73.9503,United States of America
US,New York,40.7921,-73.9439,United States of America
US,New York,40.8185,-73.943,United States of America
US,New York,40.8399,-73.9422,United States of America
US,New York,40.7543,-73.9796,United States of America
US,New York,40.8022,-73.9524,United States of America
US,New York,40.7494,-73.9758,United States of America
US,New York,40.7515,-73.9905,United States of America
US,New York,40.827,-73.9384,United States of America
US,New York,40.8132,-73.9386,United States of America
US,New York,40.7759,-73.9902,United States of America
US,New York,40.7694,-73.9503,United States of America
US,New York,40.7503,-74.0006,United States of America
DE,Munich,48.1725,11.5964,Germany
DE,Munich,48.1203,11.5733,Germany
DE,Munich,48.0988,11.5204,Germany
DE,Munich,48.1188,11.4917,Germany
DE,Munich,48.1665,11.5903,Germany
DE,Munich,48.1974,11.5721,Germany
DE,Munich,48.1834,11.4784,Germany
DE,Munich,48.1827,11.5759,Germany
DE,Munich,48.1787,11.5617,Germany
DE,Munich,48.1381,11.6147,Germany
DE,Munich,48.1388,11.5341,Germany
DE,Munich,48.0982,11.5821,Germany
DE,Munich,48.1345,11.571,Germany
DE,Munich,48.1352,11.6039,Germany
DE,Munich,48.15,11.5833,Germany
DE,Munich,48.1224,11.5449,Germany
DE,Munich,48.1414,11.502,Germany
DE,Munich,48.1223,11.6205,Germany
DE,Munich,48.1642,11.6218,Germany
DE,Munich,48.1265,11.6317,Germany
DE,Munich,48.1427,11.5552,Germany
DE,Munich,48.1611,11.5586,Germany
DE,Munich,48.1345,11.559,Germany
DE,Munich,48.13800000000001,11.507,Germany
DE,Munich,48.1595,11.4932,Germany
DE,Munich,48.1167,11.5478,Germany
DE,Munich,48.1401,11.5885,Germany
DE,Munich,48.1226,11.6035,Germany
DE,Munich,48.1404,11.6802,Germany
DE,Munich,48.1171,11.5393,Germany
DE,Munich,48.1098,11.6183,Germany
DE,Munich,48.2054,11.6238,Germany
DE,Munich,48.1159,11.5795,Germany
DE,Munich,48.1125,11.5306,Germany
DE,Munich,48.1823,11.5331,Germany
DE,Munich,48.1452,11.5668,Germany
DE,Munich,48.1776,11.5169,Germany
DE,Munich,48.118,11.6612,Germany
DE,Munich,48.1299,11.5732,Germany
DE,Munich,48.1147,11.6972,Germany
DE,Munich,48.1738,11.5858,Germany
DE,Munich,48.1134,11.6466,Germany
DE,Munich,48.1408,11.6366,Germany
DE,Munich,48.1725,11.5284,Germany
DE,Munich,48.1204,11.5001,Germany
DE,Munich,48.161,11.414,Germany
DE,Munich,48.1492,11.5328,Germany
DE,Munich,48.1285,11.5975,Germany
DE,Munich,48.1526,11.5154,Germany
DE,Munich,48.1512,11.6103,Germany
DE,Munich,48.1558,11.5409,Germany
DE,Munich,48.1089,11.6074,Germany
DE,Munich,48.1102,11.5899,Germany
