BillboardCountry,BillboardPlaceName,BillboardLatitude,BillboardLongitude,VisitorCountry,VisitorPlaceName,VisitorLatitude,VisitorLongitude,VisitorYearRate
DE,Lake,51.7833,8.5667,DE,Lake,51.7833,8.5667,26823960.0
DE,Horb,48.4333,8.6833,DE,Horb,48.4333,8.6833,26823960.0
DE,Horb,48.4333,8.6833,DE,Horb,48.4333,8.6833,53753112.0
DE,Horb,48.4333,8.6833,DE,Horb,48.4333,8.6833,107611416.0
DE,Horb,48.4333,8.6833,DE,Horb,48.4333,8.6833,13359384.0
DE,Horb,48.4333,8.6833,DE,Horb,48.4889,8.6734,26823960.0
DE,Horb,48.4333,8.6833,DE,Horb,48.4889,8.6734,53753112.0
DE,Hardenberg,51.1,7.7333,DE,Hardenberg,51.1,7.7333,26823960.0
DE,Horn-bad Meinberg,51.9833,8.9667,DE,Horn-bad Meinberg,51.8833,8.9667,26823960.0
DE,Horn-bad Meinberg,51.9833,8.9667,DE,Horn-bad Meinberg,51.9833,8.9667,26823960.0
DE,Horn-bad Meinberg,51.9833,8.9667,DE,Horn-bad Meinberg,51.9833,8.9667,53753112.0
DE,Winkel,51.55,13.3833,DE,Winkel,51.55,13.3833,26823960.0
DE,Rohrdorf,47.7333,10.0833,DE,Rohrdorf,47.7333,10.0833,26823960.0
DE,Rohrdorf,47.7333,10.0833,DE,Rohrdorf,47.8081,12.1884,26823960.0
DE,Sch<f6>nefeld,51.9833,12.8333,DE,Sch<f6>nefeld,51.9833,12.8333,26823960.0
DE,Beuren,47.75,10.0167,DE,Beuren,47.75,10.0167,26823960.0
DE,Beuren,47.75,10.0167,DE,Beuren,48.5676,9.3962,53753112.0
DE,Beuren,47.75,10.0167,DE,Beuren,48.5676,9.3962,26823960.0
DE,Marienfeld,50.8833,7.4333,DE,Marienfeld,50.8833,7.4333,26823960.0
DE,Marienfeld,50.8833,7.4333,DE,Marienfeld,50.8833,7.4333,53753112.0
DE,Borgholz,51.6167,9.2667,DE,Borgholz,51.6167,9.2667,26823960.0
DE,Kappel,47.7667,9.45,DE,Kappel,47.7667,9.45,26823960.0
DE,Riepe,52.9333,9.7333,DE,Riepe,52.9333,9.7333,26823960.0
DE,Lauenf<f6>rde,51.6667,10.3833,DE,Lauenf<f6>rde,51.6667,10.3833,26823960.0
DE,Fredeburg,51.2,8.3,DE,Fredeburg,51.2,8.3,26823960.0
DE,Dwergte,52.8833,7.9,DE,Dwergte,52.8833,7.9,26823960.0
DE,Hoof,51.2833,9.35,DE,Hoof,51.2833,9.35,26823960.0
DE,Hostel,50.6,6.6167,DE,Hostel,50.6,6.6167,26823960.0
DE,Hostel,50.6,6.6167,DE,Hostel,50.6,6.6167,13359384.0
DE,Bischofferode,51.1333,9.7667,DE,Bischofferode,51.1333,9.7667,26823960.0
DE,Bischofferode,51.1333,9.7667,DE,Bischofferode,51.5,10.45,53753112.0
DE,Bischofferode,51.1333,9.7667,DE,Bischofferode,51.5,10.45,26823960.0
DE,Riesdorf,51.95,13.2333,DE,Riesdorf,51.95,13.2333,26823960.0
DE,Odenspiel,50.9333,7.7167,DE,Odenspiel,50.9333,7.7167,26823960.0
DE,Ostenholz,52.7833,9.7167,DE,Ostenholz,52.7833,9.7167,26823960.0
DE,Eckenhagen,50.9833,7.7,DE,Eckenhagen,50.9833,7.7,26823960.0
DE,Dorfmark,52.9167,9.7667,DE,Dorfmark,52.9167,9.7667,26823960.0
DE,Sedlitz,51.55,14.0667,DE,Sedlitz,51.55,14.0667,53753112.0
DE,Sedlitz,51.55,14.0667,DE,Sedlitz,51.55,14.0667,26823960.0
DE,Hennickendorf,52.1667,13.1,DE,Hennickendorf,52.1667,13.1,107611416.0
DE,Hennickendorf,52.1667,13.1,DE,Hennickendorf,52.1667,13.1,26823960.0
DE,Hennickendorf,52.1667,13.1,DE,Hennickendorf,52.5,13.85,53753112.0
DE,Hennickendorf,52.1667,13.1,DE,Hennickendorf,52.5,13.85,26823960.0
DE,Rinderfeld,49.4194,9.9883,DE,Rinderfeld,49.4194,9.9883,26823960.0
DE,Th<fc>row,53.3833,13.1833,DE,Th<fc>row,53.3833,13.1833,26823960.0
DE,Oberbeisheim,51.0333,9.5,DE,Oberbeisheim,51.0333,9.5,107611416.0
DE,Oberbeisheim,51.0333,9.5,DE,Oberbeisheim,51.0333,9.5,26823960.0
DE,Oldendorf,51.8167,9.7667,DE,Oldendorf,51.8167,9.7667,26823960.0
DE,Oldendorf,51.8167,9.7667,DE,Oldendorf,52.0667,8.35,26823960.0
DE,Oldendorf,51.8167,9.7667,DE,Oldendorf,53.95,9.45,26823960.0
DE,Oldendorf,51.8167,9.7667,DE,Oldendorf,53.95,9.45,53753112.0
DE,Breitenbach,50.3667,9.4833,DE,Breitenbach,49.4333,7.2667,26823960.0
DE,Breitenbach,50.3667,9.4833,DE,Breitenbach,50.3667,9.4833,26823960.0
DE,Breitenbach,50.3667,9.4833,DE,Breitenbach,50.55,10.7667,26823960.0
DE,Lynow,52.05,13.3833,DE,Lynow,52.05,13.3833,107611416.0
DE,Lynow,52.05,13.3833,DE,Lynow,52.05,13.3833,53753112.0
DE,Lynow,52.05,13.3833,DE,Lynow,52.05,13.3833,26823960.0
DE,D<fc>derode,51.8,10.1167,DE,D<fc>derode,51.8,10.1167,26823960.0
DE,Ferch,52.3,12.9333,DE,Ferch,52.3,12.9333,26823960.0
