Year,Quarter,Country,Company,Department,Cash,Accounts_Receivable,Doubtful_Accounts,Inventory,Temporary_Investment,Prepaid_Expenses,Long_Term_Investments,Land,Buildings,Depreciation_Buildings,Plant_Equipment,Depreciation_Plant_Equipment,Furniture_Fixtures,Depreciation_Furniture_Fixtures,Accounts_Payable,Short_Term_Notes,Current_Long_Term_Notes,Interest_Payable,Taxes_Payable,Accrued_Payroll,Mortgage,Other_Long_Term_Liabilities,Capital_Stock,Retained_Earnings
2000,1,Afghanistan,Vermeulen,D00903,320065.36,7954772.95,1351217.62,6749603.06,52455.98,5462.15,48347907.21,99022899.40,938302830.45,815616397.04,430487.93,392904427.58,527901.53,327292.53,9288168.03,4500441.70,5058454.28,75254.27,9008986.34,9133634.71,7525271.10,3223605.84,662593011.62,96656.96
2000,1,Afghanistan,Krennwallner,D00598,106620.80,6775541.43,5675101.38,3994462.10,93633.25,8901.57,37693042.96,30792459.85,425499291.03,141782350.62,252965.12,73831820.04,338782.40,56384.70,8629673.39,2030301.43,3927075.10,13186.71,6161.01,1345314.39,6706792.27,9513451.63,876709718.48,88533.53
2000,1,Afghanistan,Hillman,D00795,493313.41,2569693.11,2003158.21,3147177.02,13847.74,436.38,56172580.51,14735543.61,868680580.96,568479590.84,907431.71,485407974.90,274937.06,127398.94,7865074.28,7512011.46,6472541.11,25969.84,4335578.67,6324266.18,1304612.74,863996.90,845921265.91,93593.14
2000,1,Afghanistan,Clark,D00336,236475.21,9351086.39,9295448.26,5878439.05,7363.04,3590.96,96034017.78,49745516.87,389913141.38,337156509.70,922085.57,55011049.74,952225.55,476024.99,8962442.57,1884814.75,3185499.17,25711.90,7280217.54,6277239.61,2156992.89,382812.82,781315492.78,98205.52
2000,1,Aland Islands,Vermeulen,D00434,989828.06,7589523.45,824222.26,7192925.57,8953.21,8284.69,85310459.86,27480109.19,719887587.08,533607721.07,383723.71,179160203.48,514438.59,438486.43,9693005.43,1001317.68,1168700.68,48263.08,5804429.43,8837188.83,7880546.52,4656221.21,119867244.90,3936.35
2000,1,Aland Islands,Krennwallner,D00101,813823.64,4220851.08,3345990.87,1899881.02,89736.39,3918.98,54280755.19,52464510.31,19193908.74,12359812.96,492162.83,10826622.48,749417.50,174577.69,9552945.66,8761617.13,4199191.20,72915.81,7842984.69,3545904.68,2189505.34,687566.80,662120891.16,95065.16
2000,1,Aland Islands,Hillman,D00225,792894.87,666807.07,91906.32,6124265.74,20943.88,4930.27,38219189.17,44935184.65,421781612.36,100092988.68,200944.42,90638460.34,282578.41,23044.79,9660361.25,2719468.58,9357772.19,80185.52,8641761.56,2750689.95,7778296.96,6149049.61,14016806.70,14457.34
2000,1,Aland Islands,Clark,D00854,874949.89,4504513.15,3890039.26,8443192.32,92523.27,5667.62,58628904.00,85032071.52,727052486.79,171431133.47,318080.04,153087668.93,93705.14,56155.79,2534126.84,2713397.23,4671271.50,54291.78,7846705.76,1455410.75,6352031.92,4915798.59,9441893.12,60726.75
2000,1,Albania,Vermeulen,D00558,227680.04,8348362.61,3265937.57,1258350.59,21155.85,6944.98,72029347.13,29867177.72,251886810.78,166772845.41,778772.00,14904432.06,854417.28,714978.95,8974372.08,4860987.12,5280486.75,17479.09,1722342.78,4391969.41,4817747.00,191796.30,782207491.99,28630.76
2000,1,Albania,Krennwallner,D00522,800271.09,3345808.73,1137568.91,6699607.57,98476.19,5072.96,46242634.68,2548093.50,931686850.18,602961878.66,352053.76,255005409.31,188932.57,120861.29,7536496.68,197740.34,6913892.01,56666.00,6490072.54,1747343.95,2599484.48,5424920.70,715656224.01,97448.12
2000,1,Albania,Hillman,D00621,473606.10,6999954.92,4641630.18,4674906.76,80317.73,2346.73,27160559.94,21172498.79,768486234.48,615044630.11,224375.88,47945282.39,255063.69,251458.78,4149530.53,9421184.27,2713403.78,33498.55,1014815.76,8272284.66,3674727.68,2024023.40,819635486.34,59927.41
