Year,Quarter,Country,Company,Department,Cash,Accounts_Receivable,Doubtful_Accounts,Inventory,Temporary_Investment,Prepaid_Expenses,Long_Term_Investments,Land,Buildings,Depreciation_Buildings,Plant_Equipment,Depreciation_Plant_Equipment,Furniture_Fixtures,Depreciation_Furniture_Fixtures,Accounts_Payable,Short_Term_Notes,Current_Long_Term_Notes,Interest_Payable,Taxes_Payable,Accrued_Payroll,Mortgage,Other_Long_Term_Liabilities,Capital_Stock,Retained_Earnings
2000,1,Afghanistan,Vermeulen,D00991,328862.01,1471906.48,39961.50,9015371.41,89995.27,7289.90,56788008.42,27013373.70,570210115.75,437863169.27,546528.77,304561844.18,9029.15,1028.19,2466477.70,6959193.82,8480291.03,34751.71,5081211.83,559765.77,4022261.37,7447719.27,484905489.10,53243.92
2000,1,Afghanistan,Krennwallner,D00041,291419.90,9336296.28,8696455.76,7888387.73,73627.91,8771.79,28242783.21,15225734.15,809355367.62,520193845.34,786145.35,138425821.02,980963.55,767105.79,8148519.71,3049176.58,2699083.55,83230.34,6291954.75,1697630.00,4416769.14,6707261.14,465679849.90,37478.04
2000,1,Afghanistan,Hillman,D00883,189493.50,637702.96,19784.38,5446101.15,74272.44,7786.02,52898840.27,10960419.86,195708693.81,64361516.38,614753.47,4826344.76,825172.46,282175.97,1862382.35,3275644.45,1460828.01,73590.77,5709369.66,3743705.76,8883907.59,4124624.90,549936648.20,67055.07
2000,1,Afghanistan,Clark,D00612,901346.30,9466902.88,2613269.42,7448975.25,72556.48,7764.67,20287094.04,14588.89,778982921.15,243571781.50,116176.19,226198999.97,190458.80,132323.38,3681001.48,5810971.19,7880415.88,66444.20,1575872.50,1890156.42,5524616.74,8603219.17,689036939.79,72092.34
2000,1,Aland Islands,Vermeulen,D00152,775300.39,9250744.44,2739319.70,630874.85,5980.29,8414.86,64792094.84,65622580.35,176241343.66,13648570.35,135089.63,577594.90,563870.54,429468.54,5994273.47,4060715.59,9564103.85,30667.18,6689204.30,6583513.37,8491307.53,2606571.86,151084033.63,91649.33
2000,1,Aland Islands,Krennwallner,D00228,870511.78,2630728.59,1881123.22,9458802.64,76160.47,6164.03,73746021.51,36443168.57,73439952.44,35895341.07,133006.70,18888517.07,445229.66,388558.81,797789.80,4618789.50,54450.28,26228.43,5674864.66,5804700.98,6632950.87,9539653.04,366608949.17,90757.73
2000,1,Aland Islands,Hillman,D00632,572586.66,5637160.61,5531547.56,2495748.86,82442.90,4706.09,46805434.76,89878827.82,22219999.80,15527964.59,749107.59,12493406.66,47223.74,23942.37,6018286.61,2191545.08,7950305.27,73838.30,4522818.02,1063416.84,2009642.28,7738637.43,649676067.03,84630.47
2000,1,Aland Islands,Clark,D00078,73142.59,4301691.05,1941166.80,4362437.12,85779.53,6474.31,35563522.15,53934882.50,843700967.89,353341585.61,158367.92,231408058.56,434747.41,126403.15,4331737.24,3774433.28,8829961.17,64688.19,1456028.04,6922492.85,3020880.11,5140469.84,359019859.11,21039.59
2000,1,Albania,Vermeulen,D00761,225595.90,8521049.11,4694497.17,9328699.00,33021.14,3319.38,7503680.63,70110064.02,549936854.62,330601946.42,178854.60,301287282.55,355344.31,58496.32,6640333.83,491487.29,6539470.20,90946.51,5417806.90,5858663.30,8300111.29,5838458.78,18828243.26,76261.26
2000,1,Albania,Krennwallner,D00770,39968.99,2452100.27,2043292.50,376700.31,12880.84,1609.13,92644394.68,45296222.96,791346618.04,475482279.57,492902.87,414438375.63,323075.38,239849.70,3178706.73,6960713.00,8464700.69,48460.12,4728570.81,1519381.57,7659784.97,1446836.92,40872817.47,70207.28
